region,county,state,risk_score,lat,lon
"Branch County, 26.0",Branch County,26.0,0.014551723375916481,39.8283,-98.5795
"Brantley County, 13.0",Brantley County,13.0,0.009966013953089714,39.8283,-98.5795
"Braxton County, 54.0",Braxton County,54.0,0.016887441277503967,39.8283,-98.5795
"Brazoria County, 48.0",Brazoria County,48.0,0.015600000000000001,39.8283,-98.5795
"Brazos County, 48.0",Brazos County,48.0,0.012299999999999998,39.8283,-98.5795
"Breathitt County, 21.0",Breathitt County,21.0,0.022480297833681107,39.8283,-98.5795
"Breckinridge County, 21.0",Breckinridge County,21.0,0.01765887811779976,39.8283,-98.5795
"Bremer County, 19.0",Bremer County,19.0,0.0102,39.8283,-98.5795
"Brevard County, 12.0",Brevard County,12.0,0.0141,39.8283,-98.5795
"Brewster County, 48.0",Brewster County,48.0,0.0111,39.8283,-98.5795
"Briscoe County, 48.0",Briscoe County,48.0,0.011399999999999999,39.8283,-98.5795
"Bristol Bay Borough, 2.0",Bristol Bay Borough,2.0,0.015751734375953674,39.8283,-98.5795
"Bristol City, 51.0",Bristol City,51.0,0.0126,39.8283,-98.5795
"Bristol County, 25.0",Bristol County,25.0,0.015899999999999997,39.8283,-98.5795
"Bristol County, 44.0",Bristol County,44.0,0.011530301533639431,39.8283,-98.5795
"Broadwater County, 30.0",Broadwater County,30.0,0.0072,39.8283,-98.5795
"Bronx County, 36.0",Bronx County,36.0,0.0234,39.8283,-98.5795
"Brooke County, 54.0",Brooke County,54.0,0.016200000000000003,39.8283,-98.5795
"Brookings County, 46.0",Brookings County,46.0,0.0072,39.8283,-98.5795
"Brooks County, 13.0",Brooks County,13.0,0.012,39.8283,-98.5795
"Brooks County, 48.0",Brooks County,48.0,0.0144,39.8283,-98.5795
"Broome County, 36.0",Broome County,36.0,0.0135,39.8283,-98.5795
"Broomfield County/City, 8.0",Broomfield County/City,8.0,0.012966018170118332,39.8283,-98.5795
"Broward County, 12.0",Broward County,12.0,0.012299999999999998,39.8283,-98.5795
"Brown County, 17.0",Brown County,17.0,0.0096,39.8283,-98.5795
"Brown County, 18.0",Brown County,18.0,0.011230300180613995,39.8283,-98.5795
